name,category,address,zip,city,phone,email,website,contact_page
Mattress Firm,shop:bed,"2460 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-1730,,https://www.mattressfirm.com/en-us/stores/il/edwardsville/018045/,
Maurices,shop:clothes,"2316 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
McDonald's,amenity:fast_food,"6091 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-3532,,https://www.mcdonalds.com/us/en-us/location/23755.html,https://www.mcdonalds.com/us/en-us/contact-us.html
McDonald's,amenity:fast_food,"1704 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-1220,,https://www.mcdonalds.com/us/en-us/location/2519.html,https://www.mcdonalds.com/us/en-us/contact-us.html
Men's Wearhouse,shop:clothes,"6628 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-0576,mwlistens@menswearhouse.com,https://www.menswearhouse.com/store-locator/1711,https://www.menswearhouse.com/slc/contact-us
Michael's Arms & Accessories,shop:weapons,"439 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 692 5551,,http://www.michaelsarms.com/,http://www.michaelsarms.com/contact/contact.htm
Michaels,shop:craft,"6639 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-4697,michaels@michaels.com,https://locations.michaels.com/il/edwardsville/7735,https://locations.michaels.com/il/edwardsville/7735
"Minas Espresso, Inc.",shop:coffee,"4767 Signature Industrial Dr., Edwardsville, IL, 62025",62025,"Edwardsville, IL",,info@minasespresso.com,https://minasespresso.com/,https://minasespresso.com/pages/contact-us
MOD Pizza,amenity:fast_food,"2300 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,press@modpizza.com,https://locations.modpizza.com/usa/il/edwardsville/2300a-troy-rd,https://modpizza.com/contact-us/
Mojo's Music,shop:musical_instrument,"142 North Main Street, Edwardsville, 62025",62025,"Edwardsville, IL",,info@mojosmusic.com,https://www.mojosmusic.com/,https://mojosmusic.com/pages/contact-us
Natural Nails,shop:beauty,"439 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 656 6592,,,
Nicotine+,shop:e-cigarette,"6707 Goshen Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Northside Dairy Haven,amenity:ice_cream,"1902 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-9233,,,
Old Navy,shop:clothes,"6617 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-4258,,https://oldnavy.gap.com/stores/il/edwardsville/oldnavy-3288.html,https://oldnavy.gap.com/stores/il/edwardsville/oldnavy-3288.html
Orangetheory Fitness,leisure:fitness_centre,"6654 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-669-0011,studiomanager1227@orangetheoryfitness.com,https://www.orangetheory.com/en-us/locations/illinois/edwardsville/6654-edwardsville-crossing-drive-suite-e?utm_medium=seo&utm_source=ylp&utm_term=corporate,https://www.orangetheory.com/en-us/contact-us
Panda Express,amenity:fast_food,"2337 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Panera Bread,amenity:fast_food,"6683 Edwardsville Crossing, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2350,,https://www.panerabread.com/en-us/cafe/locations/il/edwardsville/6683-edwardsville-crossing,https://www.panerabread.com/en-us/company/about-panera.html
Papa Murphy's,amenity:fast_food,"207 Harvard Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-7272,,https://locations.papamurphys.com/il/edwardsville/207-harvard-drive,https://www.papamurphys.com/about-us/
Parc at 720,office:leasing_office,"720 Puma Boulevard, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-953-8354,,https://www.parcat720.com/,
Patisserie 29,shop:bakery,"921 South Arbor Vitae, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Pearle Vision,shop:optician,"2220 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-9604,,https://www.pearlevision.com/pv-us/stores/il/edwardsville/1377,
Pedego Electric Bikes,shop:bicycle,"439 South Buchanan Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 791 1826,info@pedego.com,https://www.pedegoelectricbikes.com/dealers/edwardsville/,https://www.pedegoelectricbikes.com/pages/contact
Penn Station,amenity:fast_food,"231 Harvard Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-0777,,https://www.penn-station.com/,https://www.penn-station.com/about_our_product.php
Petco,shop:pet,"6631 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-692-3961,,https://stores.petco.com/il/edwardsville/pet-supplies-edwardsville-il-1657.html,https://www.petco.com/contact-us
Philly Pretzel Factory,amenity:fast_food,"6694 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9001,info@phillypretzelfactory.com,https://phillypretzelfactory.com/locations/edwardsville/,https://phillypretzelfactory.com/contact/
Pitchford Funeral Home,shop:funeral_directors,"2555 Vaughn Road, Wood River, IL, 62025",62025,"Edwardsville, IL",+1 618-259-6462,pitchfordfuneralhome@gmail.com,https://www.pitchfordfuneralhome.com/,
Planet Fitness,leisure:fitness_centre,"6483 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-9491,,https://www.planetfitness.com/gyms/edwardsville-il,
Play It Again Sports,shop:sports,"4 Club Centre Court, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-5301,,https://www.playitagainsports.com/locations/edwardsville-il,https://www.playitagainsports.com/locations/edwardsville-il#contactUsModal
Qdoba,amenity:fast_food,"2100 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-4036,,https://locations.qdoba.com/us/il/edwardsville/2100-troy-rd.html,https://contactus.qdoba.com/
Quantum Vapors,shop:e-cigarette,"1516 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-307-5361,quantumvapors1@gmail.com,https://quantumvapors.com/,
QuikTrip,shop:convenience,"2490 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,,
Rosenthal License,office:vehicle_registration;notary,"1500 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-6163,,https://rlandi.com/,https://rlandi.com/
Ross,shop:department_store,"6610 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-2129,,https://www.rossstores.com/,https://www.rossstores.com/contact-us/
Sally Beauty,shop:hairdresser_supply,"2212 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-4621,realestate@sallybeauty.com,https://www.sallybeauty.com/store-details/?showMap=true&horizontalView=true&lat=38.786443&long=-89.949102,https://urldefense.proofpoint.com/v2/url?u=https-3A__www.sallybeauty.com_CS-5FCONTACT-5FUS.html&amp;d=DwMGAg&amp;c=jf_iaSHvJObTbx-siA1ZOg&amp;r=CaLAJXxQIZeQc1-gnXiXWLltrFNjdiLucuKgOJ9daic&amp;m=iq5qYbRJGnVcB2odObPSmKOffyt_YKT7ISIZsZJUqMk&amp;s=uaWEiT2V_Cz1Lh6ZaQQ5Qp3UiDKmxludHbuZf6EGvjc&amp;e=
Schnucks,shop:supermarket,"2222 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://locations.schnucks.com/il-edwardsville-229,https://locations.schnucks.com/contact-us
Shoe Carnival,shop:shoes,"6625 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-659-2156,customerservice@shoecarnival.com,https://stores.shoecarnival.com/il/edwardsville/shoe-store-edwardsville-il-383.html,https://www.shoecarnival.com/contactus
Signarama,craft:signmaker,"4 Club Centre Court, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-0300,,https://signarama.com/locations/il-edwardsville/,https://signarama.com/locations/il-edwardsville/
Smoothie King,amenity:fast_food,"1501 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-692-5552,sk1529@smoothieking.com,https://locations.smoothieking.com/ll/us/il/edwardsville/1501-troy-rd-suite-a/,
Sonic,amenity:fast_food,"1017 Plummer Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-655-1281,,https://locations.sonicdrivein.com/il/edwardsville/1017-plummer-drive.html,https://locations.sonicdrivein.com/il/edwardsville/1017-plummer-drive.html
SOURCE Juicery,amenity:fast_food,"228 North Main Street, Edwardsville, IL, 62025",62025,"Edwardsville, IL",,,https://www.sourcejuicery.com,https://www.sourcejuicery.com/pages/contact
Starbucks,amenity:cafe,"6680 Edwardsville Crossing Drive, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-692-7817,,https://www.starbucks.com/store-locator/store/10505/troy-governors-pkwy-6680-edwardsville-crossing-drive-edwardsville-il-6,https://www.starbucks.com/store-locator/store/10505/troy-governors-pkwy-6680-edwardsville-crossing-drive-edwardsville-il-6
Starbucks,amenity:cafe,"6105 Center Grove Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618-659-8690,,https://www.starbucks.com/store-locator/store/1020407/157-center-grove-rd-6105-center-grove-rd-edwardsville-il-620253307-us,https://www.starbucks.com/store-locator/store/1020407/157-center-grove-rd-6105-center-grove-rd-edwardsville-il-620253307-us
Steak 'n Shake,amenity:fast_food,"2338 Troy Road, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1 618 659 1840,,https://www.steaknshake.com/locations/il-edwardsville-troy-road/,https://www.steaknshake.com/about-us/
Subway,amenity:fast_food,"4 Club Centre Court, Edwardsville, IL, 62025",62025,"Edwardsville, IL",+1-618-656-6056,,https://restaurants.subway.com/united-states/il/edwardsville/4-club-centre-shpg-ctr,https://www.subway.com/en-US/ContactUs/GuestCare
